purchase_id,user_id,product_id,quantity,price_paid,points_earned,purchased_at,day_of_week,hour_of_day
100,150,20,1,5.24,26,2024-05-27 20:57:13,Monday,20
101,1046,72,1,8.57,9,2024-06-18 13:22:35,Tuesday,13
102,370,13,1,7.75,8,2024-01-02 00:59:55,Tuesday,0
103,878,24,1,6.64,20,2024-01-21 08:57:15,Sunday,8
104,714,14,1,5.35,27,2024-06-23 19:19:10,Sunday,19
105,23,50,1,3.85,12,2024-05-19 02:13:41,Sunday,2
106,736,30,1,2.94,3,2024-06-04 11:31:05,Tuesday,11
107,108,87,1,6.29,13,2024-03-17 07:32:48,Sunday,7
108,350,80,1,9.12,46,2024-06-14 08:45:38,Friday,8
109,478,26,1,6.76,34,2024-04-14 10:15:41,Sunday,10
110,783,43,1,3.7,18,2024-04-03 09:09:12,Wednesday,9
111,602,45,1,3.36,17,2024-04-08 20:00:06,Monday,20
112,150,53,1,5.25,26,2024-01-01 17:08:24,Monday,17
113,206,69,1,4.79,10,2024-06-16 06:58:55,Sunday,6
114,577,13,1,7.71,8,2024-06-20 13:27:30,Thursday,13
115,705,87,1,6.51,13,2024-02-15 00:50:05,Thursday,0
116,850,21,1,8.73,17,2024-05-05 22:51:06,Sunday,22
117,573,64,2,12.24,37,2024-03-29 05:54:38,Friday,5
118,544,98,1,2.83,3,2024-01-25 22:47:02,Thursday,22
119,184,17,1,9.35,28,2024-04-01 14:11:53,Monday,14
120,350,12,1,7.19,36,2024-01-01 15:24:24,Monday,15
121,847,11,2,9.87,30,2024-04-14 14:02:58,Sunday,14
122,942,23,1,2.63,13,2024-02-25 09:47:30,Sunday,9
123,982,59,2,7.3,15,2024-02-20 20:40:52,Tuesday,20
124,797,7,1,2.56,3,2024-05-21 07:02:29,Tuesday,7
125,655,24,4,27.34,82,2024-05-07 15:43:22,Tuesday,15
126,691,95,1,9.66,19,2024-04-20 21:15:34,Saturday,21
127,458,38,2,17.44,52,2024-05-02 19:15:25,Thursday,19
128,448,97,1,3.52,11,2024-04-07 10:19:16,Sunday,10
129,1047,98,1,2.77,3,2024-01-02 11:04:19,Tuesday,11
130,155,83,1,7.83,8,2024-04-11 07:11:53,Thursday,7
131,1079,98,1,2.78,3,2024-01-23 23:57:05,Tuesday,23
132,730,61,6,51.21,256,2024-02-23 20:01:40,Friday,20
133,1128,4,2,19.82,20,2024-03-04 09:54:55,Monday,9
134,1032,4,2,19.95,20,2024-02-04 17:17:41,Sunday,17
135,703,37,2,13.17,66,2024-04-07 19:17:53,Sunday,19
136,1036,1,4,16.34,82,2024-02-23 07:32:06,Friday,7
137,763,11,1,6.38,19,2024-02-19 13:59:10,Monday,13
138,415,88,1,2.97,9,2024-05-05 08:22:05,Sunday,8
139,150,29,2,3.95,4,2024-06-19 09:27:26,Wednesday,9
140,724,24,3,20.35,61,2024-01-27 19:56:11,Saturday,19
141,1004,43,3,12.23,61,2024-06-02 06:06:35,Sunday,6
142,319,59,4,14.33,29,2024-02-12 18:23:15,Monday,18
143,19,91,1,7.99,8,2024-01-13 15:54:08,Saturday,15
144,943,15,1,7.54,38,2024-02-01 13:25:35,Thursday,13
145,1011,20,1,5.3,26,2024-05-30 19:05:34,Thursday,19
146,595,89,1,3.89,12,2024-06-16 03:05:00,Sunday,3
147,657,23,1,3.27,16,2024-04-23 07:06:13,Tuesday,7
148,724,10,1,6.84,14,2024-06-16 10:14:01,Sunday,10
149,697,81,2,8.26,17,2024-03-12 15:14:19,Tuesday,15
150,493,9,1,8.98,45,2024-05-18 08:17:23,Saturday,8
151,251,76,1,3.02,3,2024-01-01 13:24:54,Monday,13
152,784,18,1,2.71,5,2024-06-13 09:26:19,Thursday,9
153,43,43,1,4.21,21,2024-04-19 06:19:49,Friday,6
154,713,75,1,6.49,6,2024-02-27 09:16:03,Tuesday,9
155,545,13,1,7.9,8,2024-02-19 19:26:54,Monday,19
156,479,56,2,7.34,7,2024-03-03 16:58:18,Sunday,16
157,1039,57,3,15.06,75,2024-04-08 04:51:24,Monday,4
158,131,77,3,7.07,7,2024-03-22 19:36:13,Friday,19
159,749,75,1,6.36,6,2024-03-09 13:49:55,Saturday,13
160,492,54,1,4.03,20,2024-03-20 11:58:44,Wednesday,11
161,385,36,1,7.81,23,2024-01-27 22:52:07,Saturday,22
162,795,96,1,3.54,18,2024-06-21 15:48:23,Friday,15
163,1029,63,1,2.28,11,2024-06-11 20:08:22,Tuesday,20
164,1162,9,1,8.85,44,2024-03-19 20:38:51,Tuesday,20
165,603,41,2,6.12,18,2024-06-01 17:33:47,Saturday,17
166,197,4,1,7.15,7,2024-05-31 20:34:23,Friday,20
167,692,8,1,7.4,15,2024-02-16 00:00:17,Friday,0
168,656,10,1,6.76,14,2024-06-01 15:53:01,Saturday,15
169,1,40,1,2.06,4,2024-04-13 15:02:43,Saturday,15
170,782,20,2,10.95,55,2024-05-16 15:17:25,Thursday,15
171,1063,18,1,2.7,5,2024-02-15 18:26:56,Thursday,18
172,1120,43,1,4.14,21,2024-06-03 08:28:42,Monday,8
173,705,86,1,3.44,10,2024-06-01 15:19:59,Saturday,15
174,301,29,1,2.17,2,2024-05-17 13:34:34,Friday,13
175,201,96,1,3.44,17,2024-04-18 02:02:50,Thursday,2
176,199,38,1,8.61,26,2024-05-01 06:47:51,Wednesday,6
177,614,44,3,20.35,41,2024-03-22 20:06:14,Friday,20
178,515,8,1,7.51,15,2024-06-05 06:56:10,Wednesday,6
179,634,83,3,24.8,25,2024-05-01 22:47:11,Wednesday,22
180,222,55,3,14.59,44,2024-04-04 17:12:50,Thursday,17
181,199,10,1,6.79,14,2024-02-25 04:42:36,Sunday,4
182,597,2,2,10.65,53,2024-02-24 22:11:53,Saturday,22
183,710,82,2,14.26,29,2024-01-26 13:51:45,Friday,13
184,679,57,2,10.32,52,2024-06-10 15:41:59,Monday,15
185,466,2,1,5.36,27,2024-04-11 01:36:23,Thursday,1
186,1141,60,1,7.16,14,2024-06-05 12:04:03,Wednesday,12
187,874,9,1,7.46,37,2024-06-09 10:01:01,Sunday,10
188,884,66,1,4.07,20,2024-01-13 21:23:46,Saturday,21
189,1053,18,1,2.66,5,2024-02-06 06:20:34,Tuesday,6
190,544,81,4,16.13,32,2024-02-19 16:45:25,Monday,16
191,773,85,1,10.19,51,2024-06-11 09:38:12,Tuesday,9
192,1071,78,1,9.8,20,2024-04-18 16:17:59,Thursday,16
193,1140,18,2,5.36,11,2024-03-06 07:41:35,Wednesday,7
194,565,55,1,4.83,14,2024-03-08 12:22:33,Friday,12
195,114,13,1,7.93,8,2024-02-10 09:28:36,Saturday,9
196,769,96,4,13.59,68,2024-01-21 12:09:11,Sunday,12
197,650,58,3,28.13,84,2024-03-28 08:40:04,Thursday,8
198,524,21,1,8.61,17,2024-02-15 16:42:46,Thursday,16
199,891,42,2,4.2,4,2024-02-11 14:55:36,Sunday,14
200,619,41,1,3.01,9,2024-05-29 18:18:46,Wednesday,18
201,980,7,1,2.52,3,2024-03-07 12:09:52,Thursday,12
202,835,10,3,20.16,40,2024-06-23 06:14:05,Sunday,6
203,619,14,1,5.32,27,2024-04-26 16:30:39,Friday,16
204,1079,1,2,8.21,41,2024-04-02 19:50:50,Tuesday,19
205,716,66,1,4.06,20,2024-01-25 23:52:44,Thursday,23
206,289,80,1,9.04,45,2024-03-20 10:44:42,Wednesday,10
207,918,6,1,8.25,25,2024-03-17 06:34:15,Sunday,6
208,107,40,1,1.53,3,2024-04-26 04:09:05,Friday,4
209,521,7,1,2.64,3,2024-03-16 11:43:31,Saturday,11
210,86,28,1,2.22,7,2024-05-27 17:04:35,Monday,17
211,288,93,1,7.31,22,2024-03-21 16:41:00,Thursday,16
212,167,34,1,2.19,11,2024-04-14 20:32:17,Sunday,20
213,724,19,1,9.11,18,2024-03-05 11:39:33,Tuesday,11
214,77,2,2,11.0,55,2024-01-04 15:29:33,Thursday,15
215,326,58,1,9.28,28,2024-03-16 14:34:59,Saturday,14
216,340,85,1,6.6,33,2024-02-25 06:46:33,Sunday,6
217,694,25,1,6.11,18,2024-01-13 16:05:43,Saturday,16
218,750,17,1,9.59,29,2024-05-26 17:22:05,Sunday,17
219,825,18,2,5.37,11,2024-02-10 23:31:00,Saturday,23
220,100,76,1,3.08,3,2024-01-08 08:10:46,Monday,8
221,863,14,1,5.1,26,2024-04-02 13:16:56,Tuesday,13
222,78,52,2,12.05,36,2024-02-17 07:14:34,Saturday,7
223,1128,83,1,8.26,8,2024-01-11 18:35:21,Thursday,18
224,391,25,1,6.14,18,2024-04-07 15:08:17,Sunday,15
225,1125,26,1,5.41,27,2024-04-24 14:33:12,Wednesday,14
226,160,62,1,8.74,17,2024-03-16 13:42:26,Saturday,13
227,845,31,1,4.62,5,2024-05-25 08:53:19,Saturday,8
228,747,74,2,8.86,9,2024-01-21 06:53:07,Sunday,6
229,775,94,3,13.29,66,2024-02-05 11:18:20,Monday,11
230,501,19,1,9.41,19,2024-04-24 08:06:51,Wednesday,8
231,396,96,1,3.48,17,2024-02-03 11:43:11,Saturday,11
232,89,18,2,5.52,11,2024-03-05 07:47:00,Tuesday,7
233,614,50,1,4.04,12,2024-01-07 14:27:26,Sunday,14
234,724,84,1,3.93,4,2024-06-05 16:46:46,Wednesday,16
235,295,11,2,13.2,40,2024-06-08 08:26:09,Saturday,8
236,1009,42,1,2.05,2,2024-04-28 13:43:02,Sunday,13
237,65,12,1,7.34,37,2024-06-11 07:34:37,Tuesday,7
238,626,21,2,17.66,35,2024-03-27 05:28:07,Wednesday,5
239,227,4,3,28.8,29,2024-03-23 20:39:46,Saturday,20
240,461,32,1,6.52,33,2024-06-12 12:33:40,Wednesday,12
241,550,42,1,2.15,2,2024-01-28 12:15:53,Sunday,12
242,20,22,3,21.23,106,2024-02-17 06:29:50,Saturday,6
243,984,31,1,4.64,5,2024-01-17 17:27:38,Wednesday,17
244,440,20,2,10.56,53,2024-05-23 21:46:45,Thursday,21
245,604,24,1,6.62,20,2024-01-01 21:53:00,Monday,21
246,241,57,2,9.89,49,2024-04-18 18:01:48,Thursday,18
247,372,34,2,5.85,29,2024-06-01 17:44:14,Saturday,17
248,172,29,1,2.17,2,2024-06-16 08:21:02,Sunday,8
249,635,1,3,12.53,63,2024-04-04 06:44:41,Thursday,6
250,153,88,1,2.83,8,2024-02-11 16:17:31,Sunday,16
251,342,53,4,19.97,100,2024-01-19 09:08:25,Friday,9
252,367,97,1,3.56,11,2024-05-25 11:33:03,Saturday,11
253,375,18,1,2.62,5,2024-02-18 06:59:48,Sunday,6
254,857,64,1,6.04,18,2024-02-28 11:59:40,Wednesday,11
255,605,46,1,3.66,4,2024-06-01 09:06:35,Saturday,9
256,314,55,1,4.89,15,2024-01-10 05:55:51,Wednesday,5
257,47,79,1,2.75,8,2024-03-18 08:02:22,Monday,8
258,102,95,1,9.62,19,2024-01-29 20:10:41,Monday,20
259,705,77,1,2.23,2,2024-06-15 00:44:01,Saturday,0
260,1141,98,1,2.78,3,2024-01-24 06:47:55,Wednesday,6
261,1160,21,1,8.89,18,2024-04-03 10:23:35,Wednesday,10
262,793,94,5,16.33,82,2024-02-27 15:08:32,Tuesday,15
263,563,49,2,16.97,85,2024-05-03 12:16:57,Friday,12
264,768,99,1,8.55,43,2024-01-02 12:52:49,Tuesday,12
265,891,18,2,5.42,11,2024-02-12 19:22:34,Monday,19
266,1126,37,1,6.66,33,2024-03-05 16:46:54,Tuesday,16
267,661,55,2,9.75,29,2024-01-19 20:53:48,Friday,20
268,1108,67,1,7.32,22,2024-04-28 19:18:03,Sunday,19
269,660,84,1,3.82,4,2024-04-17 06:31:28,Wednesday,6
270,1138,69,1,4.75,10,2024-02-22 12:31:19,Thursday,12
271,301,3,1,2.36,2,2024-01-05 19:01:48,Friday,19
272,835,3,2,6.83,7,2024-05-01 16:16:58,Wednesday,16
273,888,23,1,3.34,17,2024-01-26 11:40:35,Friday,11
274,179,43,1,4.29,21,2024-05-22 13:26:18,Wednesday,13
275,352,87,1,6.33,13,2024-01-26 11:44:40,Friday,11
276,876,17,1,9.18,28,2024-01-10 21:40:37,Wednesday,21
277,232,17,3,27.99,84,2024-06-22 01:32:50,Saturday,1
278,494,63,1,2.24,11,2024-05-03 16:49:37,Friday,16
279,688,35,2,4.93,5,2024-05-08 20:55:10,Wednesday,20
280,601,70,3,12.32,25,2024-06-07 19:22:29,Friday,19
281,705,76,1,3.15,3,2024-03-14 16:58:29,Thursday,16
282,605,65,1,3.31,7,2024-04-08 10:46:52,Monday,10
283,259,63,3,6.63,33,2024-05-12 08:29:49,Sunday,8
284,667,98,3,8.42,8,2024-03-14 13:28:15,Thursday,13
285,4,65,1,3.29,7,2024-03-23 07:29:56,Saturday,7
286,612,81,5,20.89,42,2024-05-02 16:51:40,Thursday,16
287,1110,33,1,8.41,8,2024-03-22 10:48:55,Friday,10
288,634,83,2,17.02,17,2024-05-30 02:38:46,Thursday,2
289,14,28,2,4.27,13,2024-05-27 17:05:22,Monday,17
290,958,53,1,4.26,21,2024-04-10 00:34:56,Wednesday,0
291,330,14,1,5.3,26,2024-03-15 19:24:15,Friday,19
292,56,93,4,28.38,85,2024-01-26 12:09:40,Friday,12
293,714,25,2,12.81,38,2024-05-28 14:05:56,Tuesday,14
294,497,75,1,6.43,6,2024-05-27 20:04:32,Monday,20
295,714,37,2,13.62,68,2024-02-10 18:02:30,Saturday,18
296,30,82,1,6.87,14,2024-02-20 06:35:37,Tuesday,6
297,146,76,3,9.04,9,2024-01-21 13:18:05,Sunday,13
298,479,48,2,14.06,28,2024-03-24 10:05:51,Sunday,10
299,695,54,1,3.54,18,2024-06-20 10:39:05,Thursday,10
300,611,70,1,4.24,8,2024-04-27 12:01:03,Saturday,12
301,362,73,1,4.61,9,2024-01-19 22:05:26,Friday,22
302,501,87,1,6.34,13,2024-06-22 17:31:32,Saturday,17
303,304,91,1,8.07,8,2024-05-05 21:17:49,Sunday,21
304,769,2,3,15.89,79,2024-03-19 18:04:53,Tuesday,18
305,188,27,1,5.31,27,2024-05-25 18:23:06,Saturday,18
306,338,49,4,33.11,166,2024-01-26 20:27:49,Friday,20
307,871,21,1,8.43,17,2024-06-15 16:06:36,Saturday,16
308,448,13,1,7.73,8,2024-05-07 17:09:42,Tuesday,17
309,1011,60,1,7.26,15,2024-04-18 18:07:07,Thursday,18
310,145,74,1,4.52,5,2024-06-13 21:13:00,Thursday,21
311,611,16,1,5.15,10,2024-05-26 16:17:23,Sunday,16
312,782,5,1,8.62,43,2024-01-05 14:51:05,Friday,14
313,253,7,1,2.56,3,2024-03-17 15:15:46,Sunday,15
314,207,41,2,6.14,18,2024-04-13 18:45:19,Saturday,18
315,794,14,1,5.26,26,2024-01-26 09:28:42,Friday,9
316,215,4,1,9.93,10,2024-02-02 09:24:35,Friday,9
317,6,55,2,9.91,30,2024-05-23 09:55:44,Thursday,9
318,253,18,2,5.46,11,2024-01-30 09:54:27,Tuesday,9
319,194,96,3,10.43,52,2024-03-05 10:08:59,Tuesday,10
320,714,67,1,6.39,19,2024-04-10 09:05:28,Wednesday,9
321,768,19,1,9.27,19,2024-06-03 10:48:22,Monday,10
322,298,59,1,3.63,7,2024-02-23 09:23:07,Friday,9
323,743,78,2,20.06,40,2024-04-19 10:51:16,Friday,10
324,39,14,3,15.5,78,2024-02-08 11:45:00,Thursday,11
325,756,96,1,3.5,18,2024-01-25 09:55:18,Thursday,9
326,160,88,1,2.89,9,2024-02-05 21:55:48,Monday,21
327,843,36,1,7.78,23,2024-05-05 20:32:11,Sunday,20
328,612,4,1,9.93,10,2024-01-09 15:08:22,Tuesday,15
329,883,2,2,10.96,55,2024-03-19 17:31:36,Tuesday,17
330,160,6,1,8.35,25,2024-05-12 00:20:05,Sunday,0
331,165,37,1,6.82,34,2024-04-10 15:50:36,Wednesday,15
332,853,26,1,7.12,36,2024-02-13 07:50:02,Tuesday,7
333,555,4,2,16.33,16,2024-01-05 08:49:34,Friday,8
334,331,19,1,9.4,19,2024-04-22 20:35:50,Monday,20
335,150,93,4,22.92,69,2024-06-19 08:41:55,Wednesday,8
336,544,84,1,3.8,4,2024-05-11 09:07:06,Saturday,9
337,477,32,1,6.82,34,2024-04-27 18:15:30,Saturday,18
338,869,7,1,2.52,3,2024-05-14 15:32:17,Tuesday,15
339,667,83,1,8.62,9,2024-04-13 15:42:27,Saturday,15
340,1009,60,3,22.21,44,2024-06-15 19:44:48,Saturday,19
341,926,2,1,5.42,27,2024-05-06 10:42:55,Monday,10
342,108,13,2,15.84,16,2024-06-14 21:14:23,Friday,21
343,150,23,1,3.38,17,2024-02-11 08:00:21,Sunday,8
344,640,49,1,8.05,40,2024-04-07 09:59:07,Sunday,9
345,147,37,2,13.35,67,2024-01-31 20:07:07,Wednesday,20
346,287,59,1,3.52,7,2024-01-27 16:46:45,Saturday,16
347,747,15,3,15.75,79,2024-05-02 06:14:05,Thursday,6
348,121,58,1,9.28,28,2024-01-26 19:00:57,Friday,19
349,194,23,1,3.37,17,2024-02-28 22:36:52,Wednesday,22
350,153,75,1,6.64,7,2024-04-26 17:21:54,Friday,17
351,471,12,1,7.53,38,2024-06-28 03:41:57,Friday,3
352,253,3,1,2.58,3,2024-03-10 16:03:33,Sunday,16
353,638,13,1,7.7,8,2024-06-07 08:59:57,Friday,8
354,925,35,1,2.49,2,2024-06-19 21:44:15,Wednesday,21
355,670,15,1,7.48,37,2024-04-05 09:33:07,Friday,9
356,436,1,1,4.15,21,2024-06-24 19:20:38,Monday,19
357,323,3,1,3.4,3,2024-06-05 11:34:12,Wednesday,11
358,450,57,1,5.19,26,2024-03-02 20:15:16,Saturday,20
359,615,38,2,17.55,53,2024-01-25 00:40:59,Thursday,0
360,773,81,1,4.02,8,2024-01-16 16:02:40,Tuesday,16
361,853,4,1,10.07,10,2024-06-03 07:21:58,Monday,7
362,741,64,1,6.19,19,2024-04-09 13:06:56,Tuesday,13
363,293,21,1,8.87,18,2024-03-25 13:50:44,Monday,13
364,927,11,1,6.47,19,2024-04-10 20:20:31,Wednesday,20
365,922,83,1,8.43,8,2024-05-30 22:22:05,Thursday,22
366,1141,21,1,8.54,17,2024-05-27 17:01:44,Monday,17
367,1002,34,1,2.96,15,2024-05-23 18:23:09,Thursday,18
368,544,62,1,8.76,18,2024-06-29 18:50:37,Saturday,18
369,576,48,1,7.02,14,2024-03-02 16:11:00,Saturday,16
370,698,4,6,60.13,60,2024-03-28 21:22:50,Thursday,21
371,919,100,1,8.26,8,2024-02-22 12:20:02,Thursday,12
372,673,67,2,14.78,44,2024-04-14 06:49:26,Sunday,6
373,226,34,1,2.96,15,2024-01-18 13:40:28,Thursday,13
374,253,25,2,12.83,38,2024-04-06 06:21:41,Saturday,6
375,107,25,1,6.1,18,2024-05-05 07:12:41,Sunday,7
376,371,36,2,12.64,38,2024-02-25 03:53:55,Sunday,3
377,888,13,1,7.78,8,2024-03-23 08:07:48,Saturday,8
378,488,24,2,13.63,41,2024-06-16 15:29:21,Sunday,15
379,991,19,1,9.39,19,2024-03-05 15:07:22,Tuesday,15
380,867,5,1,9.06,45,2024-02-14 17:13:45,Wednesday,17
381,821,23,2,6.83,34,2024-04-11 00:32:09,Thursday,0
382,383,32,1,5.42,27,2024-06-27 19:05:57,Thursday,19
383,794,30,1,2.96,3,2024-05-22 06:36:45,Wednesday,6
384,421,33,1,8.38,8,2024-04-04 18:59:37,Thursday,18
385,136,56,1,3.85,4,2024-06-13 07:14:19,Thursday,7
386,523,42,3,6.48,6,2024-06-26 16:11:13,Wednesday,16
387,160,7,1,2.63,3,2024-04-14 06:24:19,Sunday,6
388,1126,66,3,10.54,53,2024-01-17 19:39:39,Wednesday,19
389,716,87,2,12.78,26,2024-01-04 19:39:59,Thursday,19
390,726,23,1,3.38,17,2024-05-20 22:44:50,Monday,22
391,1172,9,1,7.63,38,2024-01-15 03:55:07,Monday,3
392,56,72,1,9.52,10,2024-03-29 20:34:51,Friday,20
393,414,37,1,6.61,33,2024-05-23 07:29:49,Thursday,7
394,710,58,2,13.44,40,2024-06-25 08:19:17,Tuesday,8
395,943,47,1,3.43,3,2024-03-23 13:50:25,Saturday,13
396,656,30,1,2.98,3,2024-04-01 08:04:10,Monday,8
397,690,29,1,2.21,2,2024-01-20 22:25:02,Saturday,22
398,153,99,2,17.56,88,2024-02-06 08:45:17,Tuesday,8
399,768,80,2,17.92,90,2024-03-06 14:50:42,Wednesday,14
400,375,19,1,9.5,19,2024-02-10 06:23:29,Saturday,6
401,567,45,1,3.85,19,2024-06-25 15:17:14,Tuesday,15
402,150,5,3,26.87,134,2024-02-17 18:22:20,Saturday,18
403,970,67,1,7.59,23,2024-01-04 19:50:29,Thursday,19
404,667,73,1,5.51,11,2024-05-14 16:13:16,Tuesday,16
405,1117,19,4,36.75,74,2024-01-23 19:05:48,Tuesday,19
406,1098,51,1,5.75,6,2024-01-19 14:46:13,Friday,14
407,630,92,1,3.17,3,2024-03-17 00:02:25,Sunday,0
